Journal
ACC.CHEM.RES.
ACS CATAL
ACS CATAL.
ACS CATALYSIS
ACS CENT SCI
ACS CENT.SCI.
ACS CHEM NEUROSCI
ACS CHEM. BIOL.
ACS CHEM.BIOL
ACS CHEM.BIOL.
ACS COMB SCI
ACS INFECT DIS
ACS INFECT DIS.
ACS MED CHEM LETT
ACS MED. CHEM. LETT.
ACS MED.CHEM.LETT
ACS MED.CHEM.LETT.
ACS NANO
ACS OMEGA
ACS SYNTH BIOL
ACTA BIOCHIM BIOPHYS SIN
ACTA BIOCHIM. BIOPHYS. SIN.
ACTA BIOCHIM.BIOPHYS.SIN.
ACTA BIOCHIM.BIOPHYS.SINICA
ACTA BIOCHIM.POL.
ACTA CRYST. D
ACTA CRYSTALLOGR A FOUND ADV
ACTA CRYSTALLOGR D STRUCT
ACTA CRYSTALLOGR F STRUCT
ACTA CRYSTALLOGR SECT F
ACTA CRYSTALLOGR. D BIOL.
ACTA CRYSTALLOGR. SECT. F
"ACTA CRYSTALLOGR.,SECT.A"
"ACTA CRYSTALLOGR.,SECT.B"
"ACTA CRYSTALLOGR.,SECT.D"
"ACTA CRYSTALLOGR.,SECT.F"
ACTA NEUROPATHOL COMMUN
ACTA NEUROPATHOL.
ACTA PHARM SIN B
ACTA PHARMACOL.SIN.
ACTA TROP.
ADV EXP MED BIOL.
ADV FUNCT MATER
ADV. MATER. WEINHEIM
ADV. SYNTH. CATAL.
ADV.EXP. MED. BIOL.
ADV.EXP.MED.BIOL.
ADV.SYNTH.CATAL.
ADVANCES IN ENZYME RESEARCH
ALLERGY
ALZHEIMERS RES THER
"AM.CRYST.ASSOC.,ABSTR."
"AM.CRYST.ASSOC.,ABSTR.PAPERS"
AM.J.HEMATOL.
AM.J.HUM.GENET.
AM.J.PHYSIOL.HEART
AMB EXPRESS
AMINO ACIDS
AMYLASE
AMYLOID
ANAL BIOANAL CHEM
ANAL CHEM
ANAL. BIOCHEM.
ANAL. CHEM.
ANAL.BIOCHEM.
ANALYST
ANDROLOGY
ANESTHESIOLOGY
ANGEW. CHEM. INT. ED. ENGL.
ANGEW.CHEM.INT.ED.ENGL.
ANGIOGENESIS
ANN. N. Y. ACAD. SCI.
ANN. RHEUM. DIS.
ANN.N.Y.ACAD.SCI.
ANN.RHEUM.DIS.
ANNEXINS
ANNEXINS: MOLECULAR
ANNU. REV. GENET.
ANNU.REV.MICROBIOL.
ANTI-CANCER DRUG DES.
ANTIBIOTICS
ANTIBIOTICS (BASEL)
ANTIBODIES
ANTICANCER RES.
ANTIMICROB. AGENTS
ANTIMICROB.AGENTS CHEMOTHER.
ANTIOXID REDOX SIGNAL
ANTIOXID. REDOX SIGNAL.
ANTIOXID.REDOX SIGNAL.
ANTIVIR.CHEM.CHEMOTHER.
ANTIVIRAL RES.
APOPTOSIS
APPL BIOCHEM BIOTECHNOL.
APPL. BIOCHEM. BIOTECHNOL.
APPL.BIOCHEM.BIOTECHNOL.
ARCH. BIOCHEM. BIOPHYS.
ARCH. VIROL.
ARCH.BIOCHEM.BIOPHYS.
ARCH.MICROBIOL.
ARCHAEA
ARKIVOC
ARTERIOSCLER THROMB VASC
ARTHRITIS RHEUM.
ARTHRITIS RHEUMATOL
ARTIF DNA PNA XNA
ARZNEIMITTELFORSCHUNG
AUST.J.CHEM.
AUSTIN J MICROBIOL.
AUTOPHAGY
BEILSTEIN J ORG CHEM
BIOCATAL AGRIC BIOTECHNOL
BIOCATAL.BIOTRANSFOR.
BIOCATALYSIS
BIOCHEM BIOPHYS REP
BIOCHEM PHARMACOL
BIOCHEM RES INT
BIOCHEM. BIOPHYS. RES.
BIOCHEM. CELL BIOL.
BIOCHEM. J.
BIOCHEM. PHARMACOL.
BIOCHEM. SOC. TRANS.
BIOCHEM.BIOPHYS.ACTA
BIOCHEM.BIOPHYS.RES.COMMUN.
BIOCHEM.CELL BIOL.
BIOCHEM.J.
BIOCHEM.PHARM.
BIOCHEM.PHARMACOL.
BIOCHEM.SOC.TRANS.
BIOCHEMISTRY
BIOCHEMISTRY AND MOL. BIOl. VI
BIOCHEMISTRY MOSC.
BIOCHIM. BIOPHYS. ACTA
BIOCHIM.BIOPHYS.ACTA
BIOCHIMIE
BIOCONJUG. CHEM.
BIOCONJUG.CHEM.
BIODESIGN
BIOINORG CHEM APPL
BIOINTERPHASES
BIOL OPEN
BIOL.CHEM.
BIOL.CHEM.HOPPE-SEYLER
BIOL.PHARM.BULL.
BIOLOGIA
BIOLOGY
BIOLOGY (BASEL)
BIOMACROMOLECULES
BIOMED RES INT
BIOMETALS
BIOMICROFLUIDICS
