Experiment,Method,Column,Measure,Value
1,Bayesian,R [%],MSE,3.170218359800922
1,Bayesian,R [%],MAE,1.3064839806654316
1,Bayesian,R [%],MAD,0.9872768011423361
1,Bayesian,R free [%],MSE,3.15925359239941
1,Bayesian,R free [%],MAE,1.3164941805260622
1,Bayesian,R free [%],MAD,1.0252824062453705
2,Mean,Clashscore,MSE,141.1119773634265
2,Mean,Clashscore,MAE,6.672666688198364
2,Mean,Clashscore,MAD,4.6687801972766385
2,Mean,Ramachandran outliers [%],MSE,1.9650129437040218
2,Mean,Ramachandran outliers [%],MAE,0.6240855700796228
2,Mean,Ramachandran outliers [%],MAD,0.4939544523756229
2,Mean,Rotamer outliers [%],MSE,12.720101454564428
2,Mean,Rotamer outliers [%],MAE,2.5278259296553847
2,Mean,Rotamer outliers [%],MAD,2.1336068496558585
2,Mean,RSRZ outliers [%],MSE,16.406948170784865
2,Mean,RSRZ outliers [%],MAE,2.732693119922268
2,Mean,RSRZ outliers [%],MAD,2.287084434026056
2,Mean,R [%],MSE,10.05250400459247
2,Mean,R [%],MAE,2.420320128161218
2,Mean,R [%],MAD,1.9403585819616929
2,Mean,R free [%],MSE,14.958418251637047
2,Mean,R free [%],MAE,3.0639639322717054
2,Mean,R free [%],MAD,2.580841100511904
2,Median,Clashscore,MSE,156.30070330578508
2,Median,Clashscore,MAE,6.313636363636364
2,Median,Clashscore,MAD,2.4400000000000004
2,Median,Ramachandran outliers [%],MSE,2.201246592556791
2,Median,Ramachandran outliers [%],MAE,0.5257419043015948
2,Median,Ramachandran outliers [%],MAD,0.060000000000000005
2,Median,Rotamer outliers [%],MSE,14.040831
2,Median,Rotamer outliers [%],MAE,2.3078809523809523
2,Median,Rotamer outliers [%],MAD,1.42
2,Median,RSRZ outliers [%],MSE,17.531647974522294
2,Median,RSRZ outliers [%],MAE,2.611115923566879
2,Median,RSRZ outliers [%],MAD,1.8499999999999999
2,Median,R [%],MSE,10.036301808268716
2,Median,R [%],MAE,2.417200328754086
2,Median,R [%],MAD,1.9299999999999997
2,Median,R free [%],MSE,14.962154059479746
2,Median,R free [%],MAE,3.0645644198170796
2,Median,R free [%],MAD,2.580000000000002
2,Bayesian,Clashscore,MSE,58.85343670504022
2,Bayesian,Clashscore,MAE,4.150360215055834
2,Bayesian,Clashscore,MAD,2.410914541811171
2,Bayesian,Ramachandran outliers [%],MSE,1.0126145613930535
2,Bayesian,Ramachandran outliers [%],MAE,0.43849846667050113
2,Bayesian,Ramachandran outliers [%],MAD,0.20921007713158254
2,Bayesian,Rotamer outliers [%],MSE,6.779074883695216
2,Bayesian,Rotamer outliers [%],MAE,1.752772947585645
2,Bayesian,Rotamer outliers [%],MAD,1.2150880575405438
2,Bayesian,RSRZ outliers [%],MSE,14.777720969950295
2,Bayesian,RSRZ outliers [%],MAE,2.5703663249750344
2,Bayesian,RSRZ outliers [%],MAD,2.0252426615258754
2,Bayesian,R [%],MSE,3.348384981911283
2,Bayesian,R [%],MAE,1.3287318116383817
2,Bayesian,R [%],MAD,0.9629447646134288
2,Bayesian,R free [%],MSE,3.2904550748101165
2,Bayesian,R free [%],MAE,1.337089499038809
2,Bayesian,R free [%],MAD,1.0273147929927298
3,Mean,Clashscore,MSE,84.52939112150227
3,Mean,Clashscore,MAE,5.6704490282383695
3,Mean,Clashscore,MAD,4.449598267098532
3,Mean,Ramachandran outliers [%],MSE,1.3776507994238305
3,Mean,Ramachandran outliers [%],MAE,0.6132380989279465
3,Mean,Ramachandran outliers [%],MAD,0.4945073411760805
3,Mean,Rotamer outliers [%],MSE,12.747467876853085
3,Mean,Rotamer outliers [%],MAE,2.549024148492136
3,Mean,Rotamer outliers [%],MAD,2.143334356082594
3,Mean,RSRZ outliers [%],MSE,15.702400386434393
3,Mean,RSRZ outliers [%],MAE,2.748462561317541
3,Mean,RSRZ outliers [%],MAD,2.3051216697471038
3,Mean,R [%],MSE,10.920432582980025
3,Mean,R [%],MAE,2.5415521733989586
3,Mean,R [%],MAD,2.034958893971183
3,Mean,R free [%],MSE,14.134540769743365
3,Mean,R free [%],MAE,2.970027691460207
3,Mean,R free [%],MAD,2.521900501771018
3,Median,Clashscore,MSE,95.24631900826446
3,Median,Clashscore,MAE,5.355537190082645
3,Median,Clashscore,MAD,2.6400000000000006
3,Median,Ramachandran outliers [%],MSE,1.5846206379893666
3,Median,Ramachandran outliers [%],MAE,0.49510391493475103
3,Median,Ramachandran outliers [%],MAD,0.04
3,Median,Rotamer outliers [%],MSE,14.106521190476192
3,Median,Rotamer outliers [%],MAE,2.3208999999999995
3,Median,Rotamer outliers [%],MAD,1.3900000000000001
3,Median,RSRZ outliers [%],MSE,16.768191830148623
3,Median,RSRZ outliers [%],MAE,2.6177460721868364
3,Median,RSRZ outliers [%],MAD,1.8599999999999999
3,Median,R [%],MSE,10.939535075922803
3,Median,R [%],MAE,2.539851735760902
3,Median,R [%],MAD,2.0199999999999996
3,Median,R free [%],MSE,14.135302496903998
3,Median,R free [%],MAE,2.970054984536562
3,Median,R free [%],MAD,2.5199999999999996
3,Bayesian,Clashscore,MSE,25.358894297747558
3,Bayesian,Clashscore,MAE,3.2920458380983693
3,Bayesian,Clashscore,MAD,2.1104874022778084
3,Bayesian,Ramachandran outliers [%],MSE,0.6442047735924893
3,Bayesian,Ramachandran outliers [%],MAE,0.4090413812522704
3,Bayesian,Ramachandran outliers [%],MAD,0.20375246677648057
3,Bayesian,Rotamer outliers [%],MSE,6.364726855004692
3,Bayesian,Rotamer outliers [%],MAE,1.7543338825441004
3,Bayesian,Rotamer outliers [%],MAD,1.2607020055948408
3,Bayesian,RSRZ outliers [%],MSE,13.981933145032427
3,Bayesian,RSRZ outliers [%],MAE,2.566136550934626
3,Bayesian,RSRZ outliers [%],MAD,2.0521798903357835
3,Bayesian,R [%],MSE,3.3045117442266485
3,Bayesian,R [%],MAE,1.3375015434801838
3,Bayesian,R [%],MAD,1.0172312542556572
3,Bayesian,R free [%],MSE,3.0548308004716525
3,Bayesian,R free [%],MAE,1.3005139422780954
3,Bayesian,R free [%],MAD,1.020016776314165
4,Mean,Clashscore,MSE,61.2811329441047
4,Mean,Clashscore,MAE,5.295326355220796
4,Mean,Clashscore,MAD,4.209858691838882
4,Mean,Ramachandran outliers [%],MSE,2.0263752822482775
4,Mean,Ramachandran outliers [%],MAE,0.6482028749168918
4,Mean,Ramachandran outliers [%],MAD,0.4940234287561868
4,Mean,Rotamer outliers [%],MSE,13.397151959791799
4,Mean,Rotamer outliers [%],MAE,2.5134032073258856
4,Mean,Rotamer outliers [%],MAD,2.045
4,Mean,RSRZ outliers [%],MSE,15.945201834553616
4,Mean,RSRZ outliers [%],MAE,2.73238832944223
4,Mean,RSRZ outliers [%],MAD,2.3087728440697832
4,Mean,R [%],MSE,10.417695255285006
4,Mean,R [%],MAE,2.499653322724453
4,Mean,R [%],MAD,2.0505367416941205
4,Mean,R free [%],MSE,14.647388635870497
4,Mean,R free [%],MAE,3.0206937345321854
4,Mean,R free [%],MAD,2.5473915252235884
4,Median,Clashscore,MSE,70.57393719008265
4,Median,Clashscore,MAE,5.057685950413222
4,Median,Clashscore,MAD,2.6499999999999995
4,Median,Ramachandran outliers [%],MSE,2.258962010633156
4,Median,Ramachandran outliers [%],MAE,0.5238279362010633
4,Median,Ramachandran outliers [%],MAD,0.04
4,Median,Rotamer outliers [%],MSE,14.950730428571429
4,Median,Rotamer outliers [%],MAE,2.319604761904762
