mean,mean,mean,mean,mean,mean
Clashscore,R [%],R free [%],RSRZ outliers [%],Ramachandran outliers [%],Rotamer outliers [%]
2.495144373942366,0.9923476355220089,1.0166607013598579,2.0110334328154247,0.2054547801778211,1.2281418570896019
4.446623512733949,2.013692919641677,2.5056025927245047,2.2960699191189122,0.49543142647781296,2.1157597191451076
2.946900000000001,2.0054000000000003,2.5057903322840005,1.8559000000000012,0.04260000000000001,1.3954
3.670581332306881,1.3168201753131925,1.3113090267948022,2.543139121837653,0.4091526801586305,1.7720198251287544
5.647714453184664,2.4932308149637414,3.004075521133933,2.7346379726602543,0.6080908086681337,2.5490963419921164
5.127618707482991,2.49098801685106,3.0040699074338777,2.6016479573861258,0.4919010728654448,2.3367078483245156
5.710581043085252,1.7846937748902034,1.766300690192331,3.8198006258398367,0.8501989240030151,2.6374284231637763
8.959235683420683,3.246831893174725,3.8196351228299443,4.025848058496211,1.2503843485355646,3.6468713236955552
9.349917329911422,3.248763968465151,3.8197560876076553,4.1530659234336635,1.3296824909963547,3.844798568706847
