,J1,J2,L
52340,CHEM BIOL,CHEMRXIV,4
53253,FASEB J,FEBS J,3
53534,FASEB J,MALAR J,4
53563,FASEB J,ISME J,4
54273,NEURON,PEERJ,4
54364,NEURON,PRION,4
54809,GENES DEV,GENES CELLS,4
56294,J CELL BIOL,NAT CELL BIOL,3
56332,J CELL BIOL,MOL CELL BIOL,3
56390,J CELL BIOL,J CELL SCI,4
56578,J CELL BIOL,J MOL CELL BIOL,4
56600,J CELL BIOL,J CELL BIOCHEM,4
56749,J CELL BIOL,J MEMBR BIOL,4
57829,BIOPHYS CHEM,BIOL CHEM,4
57959,BIOPHYS CHEM,BIOORG CHEM,4
58049,BIOPHYS CHEM,BIOPHYS REP,3
58092,BIOPHYS CHEM,J BIOPHYS CHEM,2
58482,BIOPHYS CHEM,BIOPHYS REV,3
60114,CURR BIOL,CURR SCI,4
60207,CURR BIOL,PLOS BIOL,4
60216,CURR BIOL,BMC BIOL,4
60278,CURR BIOL,RNA BIOL,4
60435,CURR BIOL,OPEN BIOL,4
62413,J VIROL,J GEN VIROL,4
62574,J VIROL,VIROL J,4
63009,J VIROL,ARCH VIROL,4
63900,NAT BIOTECHNOL,J BIOTECHNOL,3
64025,NAT BIOTECHNOL,BMC BIOTECHNOL,3
64221,NAT BIOTECHNOL,NAT NANOTECHNOL,3
64298,NAT BIOTECHNOL,MOL BIOTECHNOL,3
64384,NAT BIOTECHNOL,N BIOTECHNOL,2
66226,MOL CELL,DEV CELL,3
66520,MOL CELL,MOLECULES,4
66638,MOL CELL,MOL ONCOL,4
66737,MOL CELL,MOL CELLS,1
66836,MOL CELL,MICROB CELL,4
66862,MOL CELL,MOL THER,4
66951,AMYLOID,BLOOD,4
67184,AMYLOID,THYROID,3
67600,AMYLOID,AMYLASE,3
68823,TOXICON,PRION,4
69029,TOXICON,TOXINS,3
69131,TOXICON,TOXICOLOGY,4
69329,BIOORG MED CHEM,BIOORG CHEM,4
70295,J EXP MED,J MOL MED,3
70531,J EXP MED,J EXP BOT,3
71270,PLANT PHYSIOL,FRONT PHYSIOL,3
72276,GLYCOBIOLOGY,MICROBIOLOGY,4
72660,GLYCOBIOLOGY,CRYOBIOLOGY,3
75319,IMMUNITY,IMMUNOLOGY,4
77456,RNA,PLANTA,4
77513,RNA,GENE,3
77586,RNA,SMALL,4
77705,RNA,MBIO,4
77748,RNA,MABS,4
77769,RNA,PRION,4
77889,RNA,LIFE,4
77954,RNA,ARXIV,4
77969,RNA,CHEM,4
78018,RNA,RES,2
78034,RNA,BONE,3
78057,RNA,AIDS,4
78108,RNA,BRAIN,4
78109,RNA,TBD,3
79712,J BIOTECHNOL,BMC BIOTECHNOL,3
79841,J BIOTECHNOL,BIOTECHNOL J,4
79985,J BIOTECHNOL,MOL BIOTECHNOL,3
80071,J BIOTECHNOL,N BIOTECHNOL,1
85519,CHEM PHARM BULL,BIOL PHARM BULL,4
86945,J IMMUNOL,NAT IMMUNOL,3
87043,J IMMUNOL,EUR J IMMUNOL,4
87158,J IMMUNOL,INT IMMUNOL,3
87463,J IMMUNOL,SCI IMMUNOL,3
88192,J INORG BIOCHEM,J FOOD BIOCHEM,4
90165,CURR SCI,CHEM SCI,3
90247,CURR SCI,CLIN SCI,3
90526,CURR SCI,MILK SCI,4
92029,NEW J CHEM,CAN J CHEM,3
92043,NEW J CHEM,CHIN J CHEM,4
92072,NEW J CHEM,MED CHEM,4
92220,NEW J CHEM,NAT CHEM,4
92227,NEW J CHEM,AUST J CHEM,4
93457,NAT CELL BIOL,MOL CELL BIOL,3
93487,NAT CELL BIOL,NAT CHEM BIOL,3
94888,BIOL CHEM,INORG CHEM,4
94942,BIOL CHEM,MED CHEM,4
94984,BIOL CHEM,BIOORG CHEM,3
95056,BIOL CHEM,J ORG CHEM,4
95090,BIOL CHEM,NAT CHEM,4
95094,BIOL CHEM,ANAL CHEM,3
95387,BIOL CHEM,FRONT CHEM,4
95427,BIOL CHEM,BIOL OPEN,3
95430,BIOL CHEM,FOOD CHEM,3
95520,BIOL CHEM,POLYM CHEM,4
95527,BIOL CHEM,MOL THER,4
95661,CURR MED CHEM,EUR J MED CHEM,3
95839,CURR MED CHEM,CURR TOP MED CHEM,4
96106,CURR MED CHEM,FUT MED CHEM,3
96149,CURR MED CHEM,FUTURE MED CHEM,4
96373,CANCER RES,CANCER CELL,3
96552,CANCER RES,ANTICANCER RES,4
96579,CANCER RES,CANCER LETT,3
96616,CANCER RES,MOL CANCER RES,4
96958,CANCER RES,CANCER MED,2
97147,PROSTATE,PLOS ONE,4
97502,PROSTATE,CRYSTALS,4
97906,CHEM BIO CHEM,CHEMBIOCHEM,2
98020,CHEM BIO CHEM,CHEM CAT CHEM,3
99843,TRAFFIC,BRAIN,4
99948,J STRUCT FUNCT GENOM,J STRUCT FUNCT GENOMICS,3
100774,BLOOD,BIOLOGY,4
100837,BLOOD,ELIFE,4
100857,BLOOD,MBIO,4
100921,BLOOD,PRION,4
101041,BLOOD,LIFE,4
101132,BLOOD,ZENODO,4
101153,BLOOD,BLOOD ADV,4
101186,BLOOD,BONE,3
101260,BLOOD,BRAIN,4
101261,BLOOD,TBD,4
106356,J BIOCHEM MOL TOXICOL,J BIOCHEM MOL BIOL,4
107713,EMBO REP,BMB REP,2
107849,EMBO REP,SCI REP,4
107893,EMBO REP,REDOX REP,4
107903,EMBO REP,CELL REP,4
108392,PH D THESIS,PHD THESIS,1
109267,MOL ENDOCRINOL,J MOL ENDOCRINOL,2
110509,NAT IMMUNOL,NAT COMMUN,4
110588,NAT IMMUNOL,INT IMMUNOL,2
110659,NAT IMMUNOL,FRONT IMMUNOL,4
