Rank,Journal,Q1(t) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,TUBERCULOSIS (EDINB)*,84.80325467917046,2.020318181818181,1.9954281238056129,1.9186459825761668,132
2,CHEMISTRY*,72.33899683585744,1.8204297970936365,1.7655529356167432,1.6162016682605012,242
3,CHEM COMMUN*,71.87737158839997,1.8050000065368579,1.7457717241525335,1.5911154218608943,280
4,CHEMBIOCHEM*,71.83920823077199,1.920974193548387,1.8669852917704612,1.7097568960064802,527
5,ACS INFECT DIS*,71.69064537515814,1.9468954248366017,1.9040055874644006,1.7807886522105287,153
6,EUR J MED CHEM*,71.39110297955395,2.0278038299282533,1.9721152448891577,1.8066601463903236,418
7,ACS CATAL*,71.33335677266366,1.936618299736225,1.8756950659901532,1.6983774132813414,241
8,ORG BIOMOL CHEM*,71.21272388083514,1.882623952095808,1.8241941676105142,1.642599107640431,167
9,J INORG BIOCHEM*,71.10687437407918,1.7844380116959073,1.7282834315797668,1.5660958412656527,171
10,IUCRJ*,70.61597644763474,1.9531017793594299,1.8824325135630686,1.6865696269180603,281
11,J SYNCHROTRON RADIAT*,70.2385665200474,1.789911564625848,1.7299998117058015,1.564610164071615,147
12,ACS OMEGA*,69.76948872482252,1.8066372549019607,1.7660465900160047,1.6362302003404752,102
13,J BIOL INORG CHEM*,68.04364304880515,1.8840876139683393,1.821752577201187,1.6430099717262943,265
14,CHEM SCI*,67.78332669426173,1.8747019365477993,1.8250185683647666,1.6815243255224301,268
15,J COMPUT AIDED MOL DES,67.56567522370447,1.8818173913043477,1.8556025841906836,1.7650652413550942,115
16,NAT CHEM*,67.44725982210258,1.9451560693641596,1.8482010535569153,1.6511864097124673,173
17,ANGEW CHEM*,67.4470101800013,1.9172186854460067,1.8484972904704644,1.6444318238340048,1065
18,FEBS J*,66.24143175791143,2.022789380283403,1.9698009601795816,1.8123194108934575,1539
19,APPL ENVIRON MICROBIOL,65.99310715539174,2.00816875,1.9627934838828673,1.8315067761536337,112
20,ANTIMICROB AGENTS CHEMOTHER*,65.63900396256018,1.9555546925566334,1.8760568784100398,1.6518568504383326,309
21,ARCH BIOCHEM BIOPHYS*,65.32600556866652,2.079391307063188,2.032895093914664,1.886827955767284,276
22,GLYCOBIOLOGY,65.12264970526614,1.9573670212765952,1.8978427403054388,1.736312494283064,188
23,ACS CHEM BIOL*,64.69400580608773,2.0379855177311694,1.9841030478586075,1.8250885848294458,1104
24,CHEMMEDCHEM*,64.6492422709532,1.9431031408754138,1.8823986261691041,1.694320801089032,556
25,BIOCHEM J*,64.31599455008234,2.110534370185326,2.055752630432588,1.8933650700452667,1033
26,INT J MOL SCI,63.82975256432637,2.115212636050583,2.0355113367313895,1.8114981318604353,103
27,ACTA CRYST F*,63.70924595385603,2.0874963923216976,2.0150906655337995,1.808368650487447,1466
28,ACTA CRYST D*,63.60014934860789,1.9859256614583185,1.9105752765307304,1.69622577240154,4952
29,J AM CHEM SOC*,63.36603079888178,2.000311740423091,1.9347855899581647,1.7389272477446214,2369
30,PROTEIN ENG DES SEL,63.04108874398886,2.0513530612244892,2.0007882709638487,1.8447406514961104,294
31,TO BE PUBLISHED*,62.74404472177394,2.0331372154062395,1.9764523344000984,1.8087615090033207,22421
32,BIOPHYS J,62.488829060057824,1.915994974874371,1.8541708411402291,1.663682327720024,199
33,MBIO,62.041201176185965,2.2386763327531365,2.1541234142103898,1.9132036347457388,169
34,SCI REP*,61.273064039480616,2.1577250420572343,2.0874733366703686,1.8806223486281317,1847
35,NAT CHEM BIOL,61.11630381995239,2.1875664749916175,2.11923963132319,1.9174839305067142,1013
36,FEBS LETT,61.09127361698431,2.101564219983207,2.037790027899831,1.8475580972165024,814
37,BIOCHEMISTRY*,60.67164888676909,2.052668690214357,2.0003416213826597,1.8396788058053615,8896
