mean,mean,mean,mean,mean,mean
Clashscore,R [%],R free [%],RSRZ outliers [%],Ramachandran outliers [%],Rotamer outliers [%]
2.485543013125704,0.9973424108056497,1.0198052818701826,2.0098773237173817,0.20601717853291976,1.2279423957265478
4.42053884538528,2.007627828983642,2.5027802650077153,2.295288705335512,0.4931444071154403,2.1125704476773954
2.9269000000000007,2.0015049999999994,2.5020149999999997,1.8575000000000008,0.03869999999999995,1.391399999999999
3.688447112379738,1.3218845546095173,1.3130274945564668,2.5438563166786823,0.40795808108677606,1.7743100709832786
5.652102497645984,2.4855196303565323,3.000377055156568,2.736322243199624,0.6080807143621485,2.556147583230363
5.117892561983472,2.483367232295373,3.000368089040668,2.604917675010607,0.49198587896253604,2.3411077614765734
5.708907749322389,1.7919514039698223,1.7666376648964082,3.8381916151429154,0.8388050657467919,2.6403592067580313
8.928311256571336,3.2391090341358715,3.8180333748582513,4.044032411986672,1.236378791802045,3.6528639926475397
9.298943654126086,3.240948724192342,3.8181533315568252,4.171980939752583,1.319490941213966,3.8528598888895456
