From,To
ACTA BIOCHIM BIOPHYS SINICA,ACTA BIOCHIM BIOPHYS SIN
ACTA CRYST D,ACTA CRYST D
ACTA CRYSTALLOGR D BIOL,ACTA CRYST D
ACTA CRYSTALLOGR SECT A,ACTA CRYST A
ACTA CRYSTALLOGR A FOUND ADV,ACTA CRYST A
ACTA CRYSTALLOGR SECT F,ACTA CRYST F
ACTA CRYSTALLOGR F STRUCT,ACTA CRYST F
ACTA CRYSTALLOGR D STRUCT,ACTA CRYST D
ACTA CRYSTALLOGR SECT B,ACTA CRYST B
ACTA CRYSTALLOGR SECT D,ACTA CRYST D
ACTA CRYSTALLOGR C STRUCT CHEM,ACTA CRYST C
ACTA CRYSTALLOGR D BIOL CRYSTALLOGR,ACTA CRYST D
ACTA CRYSTALLOGR D STRUCT BIOL,ACTA CRYST D
ACTA CRYSTALLOGR F STRUCT BIOL COMMUN,ACTA CRYST F
ACTA CRYSTALLOGR SECT F STRUCT BIOL CRYST COMMUN,ACTA CRYST F
ACTA CRYSTALLOGR,ACTA CRYST D
ANGEW CHEM INT ED ENGL,ANGEW CHEM
BIOCHEM PHARMACOL,BIOCHEM PHARM
BIOL CHEM HOPPE-SEYLER,BIOL CHEM
CATALYSIS SCIENCE AND TECHNOLOGY,CATAL SCI TECHNOL
CELL REPORTS,CELL REP
CHANNELS (AUSTIN),CHANNELS
CHEM BIO CHEM,CHEMBIOCHEM
CHEM BIOL,CELL CHEM BIOL
CHEM CAT CHEM,CHEMCATCHEM
CHEM COMMUN (CAMB ),CHEM COMMUN
CROAT CHEM ACTA,CROATICA CHEMICA ACTA
CRYSTALLOGR REP (TRANSL KRISTALLOGRAFIYA),CRYSTALLOGR REP
DNA REPAIR (AMST),DNA REPAIR
DNA REPAIR (AMST ),DNA REPAIR
ENVIRON SCI TECH,ENVIRON SCI TECHNOL
EUKARYOT CELL,EUKARYOTIC CELL
EUR J BIOCHEM,FEBS J
FARADAY DISCUSS,FARADAY DISC CHEM SOC
FEBS LETTERS,FEBS LETT
FUTURE MED CHEM,FUT MED CHEM
J CHEM SOC FARADAY TRANS,FARADAY DISC CHEM SOC
J MICROBIOL BIOTECH,J MICROBIOL BIOTECHNOL
J PROTEIN CHEM,PROTEIN J
J STEROID BIOCHEM MOL,J STEROID BIOCHEM MOL BIOL
J STRUCT FUNCT GENOMICS,J STRUCT FUNCT GENOM
MED CHEM COMM,MEDCHEMCOMM
MED CHEM COMMUN,MEDCHEMCOMM
NAT STRUCT BIOL,NAT STRUCT MOL BIOL
PHD THESIS,PHD THESIS
PHILOS TRANS R SOC LOND B BIOL SCI,PHILOS TRANS R SOC LOND B BIOL SCI
PHILOS TRANS R SOC LONDON SER B,PHILOS TRANS R SOC LOND B BIOL SCI
PHOTOSYNTH RES,PHOTOSYN RES
PROC NATL ACAD SCI U S A,PNAS
GLYCOCONJ J,J BIOL CHEM
PROTEIN ENG,PROTEIN ENG DES SEL
PROTEIN EXPRESS PURIF,PROTEIN EXPR PURIF
RUS J BIOORG CHEM,RUSS J BIOORGANIC CHEM
THESIS RICE,PHD THESIS
THESIS STANFORD UNIVERSITY,PHD THESIS
THESIS TEXAS AGRICULTURAL,PHD THESIS
THESIS UNIVERSITE JOSEPH,PHD THESIS
THESIS UNIVERSITY OF,PHD THESIS
THESIS UNIVERSITY OF LEEDS,PHD THESIS
PH D THESIS,PHD THESIS
THESIS,PHD THESIS
THESIS NORTH CAROLINA STATE UNIVERSITY,PHD THESIS
THESIS TEXAS AGRICULTURAL AND MECHANICAL UNIVERSITY,PHD THESIS
THESIS UNIVERSITE JOSEPH FOURIER,PHD THESIS
THESIS UNIVERSITY OF MINNESOTA,PHD THESIS
THESIS UNIVERSITY OF MINNESOTA DIGITAL CONSERVANCY,PHD THESIS
THESIS UNIVERSITY OF READING,PHD THESIS
TOXINS (BASEL),TOXINS
